engine,max_power,mileage,km_driven
1248.0,74.0,23.4,145500
1498.0,103.52,21.14,120000
1497.0,78.0,17.7,140000
1396.0,90.0,23.0,127000
1298.0,88.2,16.1,120000
1197.0,81.86,20.14,45000
796.0,37.0,16.1,5000
1364.0,67.1,23.59,90000
1399.0,68.1,20.0,169000
1461.0,108.45,19.01,68000
993.0,60.0,17.3,100000
1248.0,73.9,19.3,140000
,,,80000
1061.0,67.0,18.9,90000
1198.0,82.0,18.15,40000
1248.0,88.5,24.52,70000
1396.0,90.0,23.0,53000
796.0,46.3,19.7,80000
1396.0,88.73,22.54,100000
1461.0,64.1,21.0,100000
1498.0,98.6,25.5,50000
1248.0,74.0,26.59,40000
1248.0,88.8,21.5,72000
1199.0,83.81,20.3,35000
1197.0,83.1,21.4,45000
796.0,47.3,24.7,28000
1248.0,73.8,18.2,70000
1061.0,67.0,18.9,120000
796.0,34.2,16.8,25000
1248.0,88.5,24.3,70000
,,,50000
796.0,35.0,14.0,35000
1197.0,81.83,18.6,2388
1248.0,88.5,24.3,16200
998.0,67.1,23.95,15000
1591.0,121.3,17.0,5000
1198.0,67.0,20.63,42000
2179.0,138.03,13.93,60000
796.0,37.0,16.1,76000
1368.0,160.77,16.0,5000
1497.0,117.3,17.8,28900
1497.0,116.3,16.8,86300
1197.0,83.14,18.5,23300
1248.0,88.5,24.3,32600
998.0,67.05,23.95,10300
2982.0,168.5,12.55,77000
2494.0,100.0,12.99,99000
2143.0,120.7,14.8,27800
1498.0,98.63,24.7,49800
2477.0,175.56,13.5,151000
1498.0,98.6,26.0,54700
1462.0,103.25,20.65,64000
1498.0,98.6,27.3,63000
2755.0,171.5,11.36,127700
2494.0,100.6,12.99,99000
1968.0,174.33,17.68,33900
1798.0,138.03,14.28,25000
1968.0,187.74,18.53,50000
2143.0,170.0,14.84,59000
1248.0,88.8,21.12,120000
1197.0,78.9,20.36,110000
1396.0,88.76,21.27,60000
1248.0,74.0,26.59,147000
1196.0,86.8,18.16,25000
1197.0,83.1,21.4,30000
1498.0,108.495,22.0,40000
1498.0,98.6,25.1,135000
998.0,67.0,20.51,30000
1498.0,108.62,21.66,80000
1248.0,88.5,24.3,70000
1248.0,88.5,24.3,9850
1197.0,78.9,20.36,60000
1248.0,74.0,25.2,70000
2982.0,168.5,12.55,78000
1248.0,74.0,22.9,120000
1373.0,93.7,16.02,120000
,,,70000
1598.0,103.6,20.54,170000
2494.0,100.6,12.99,140000
1498.0,98.59,22.77,90000
1998.0,189.0,15.71,30000
998.0,67.04,23.1,10000
1198.0,67.05,19.02,49000
796.0,47.3,24.7,32000
796.0,47.3,24.7,38000
,,,78000
1086.0,68.05,19.81,28000
796.0,35.0,14.0,32000
1198.0,74.0,16.47,42000
1086.0,68.05,19.81,45000
1598.0,103.6,15.04,12000
998.0,67.1,18.2,55500
1197.0,82.85,18.5,61500
1248.0,74.0,26.59,150000
1197.0,82.0,19.1,72000
796.0,46.3,19.7,68000
1396.0,88.73,22.54,110000
998.0,67.05,21.79,77000
1248.0,90.0,18.8,100000
1197.0,81.8,21.21,10000
1196.0,73.0,15.37,100000
1197.0,83.1,21.4,35000
2179.0,120.0,11.79,70000
1194.0,94.68,19.0,5000
1591.0,121.3,17.0,37800
1798.0,160.0,14.3,114000
1172.0,65.0,15.8,48000
2179.0,155.0,15.1,32000
1405.0,69.01,19.09,100000
1582.0,126.32,22.32,150000
1396.0,88.76,21.9,69000
1798.0,138.1,14.53,100000
998.0,67.04,21.63,13000
1248.0,88.5,24.3,60000
1197.0,83.14,20.85,40000
998.0,67.04,20.51,35000
,,,120000
1461.0,83.8,20.45,70000
1582.0,126.2,19.67,50000
1498.0,98.96,23.0,76139
1248.0,73.9,19.3,175000
999.0,67.0,23.01,25000
998.0,67.04,23.1,40000
796.0,46.3,19.7,65000
1248.0,88.76,20.77,90000
1086.0,62.1,17.92,80000
1248.0,88.76,20.77,110000
1198.0,86.7,17.8,1303
1968.0,188.0,17.01,31800
2487.0,214.56,22.37,20000
1999.0,177.0,19.33,45000
3604.0,280.0,9.5,17000
1999.0,148.31,12.83,21000
2987.0,254.79,13.5,37000
1995.0,187.74,22.48,29500
,,,27000
1995.0,190.0,16.78,7500
1798.0,177.46,14.67,50000
2143.0,204.0,15.0,35000
1451.0,141.0,13.96,19000
1497.0,117.6,18.0,41000
1798.0,138.03,14.28,39000
1969.0,190.0,18.0,22000
2967.0,241.4,12.07,53000
1248.0,88.5,26.21,40000
2987.0,282.0,13.5,47000
2497.0,150.0,10.8,72200
1797.0,147.5,16.3,49900
1999.0,177.0,13.6,9000
1198.0,108.5,17.0,11000
1598.0,103.6,15.04,49000
1797.0,147.5,16.3,95000
1598.0,103.5,14.3,11000
1991.0,183.0,15.04,18000
1373.0,93.7,16.02,46100
1991.0,181.04,14.74,16000
1497.0,116.3,15.6,18000
1197.0,81.8,19.56,9654
998.0,67.05,23.95,11000
1197.0,81.8,21.21,24300
2755.0,171.5,11.36,42163
1497.0,108.5,21.5,8000
1995.0,190.0,22.69,30000
2494.0,157.7,19.16,41000
1995.0,190.0,18.12,12000
2362.0,164.7,12.1,71000
1373.0,91.1,17.5,20000
1969.0,400.0,42.0,30000
1598.0,103.6,20.54,100000
1196.0,86.8,18.16,9500
1399.0,68.0,20.0,120000
1197.0,81.8,20.4,36600
998.0,67.0,20.51,50000
1197.0,81.83,18.6,14000
796.0,37.0,16.1,40000
1248.0,73.9,21.1,120000
1197.0,82.0,18.9,70000
999.0,75.0,19.44,13000
1197.0,82.0,18.9,60000
1197.0,85.8,19.1,35000
1197.0,82.0,19.1,44000
1493.0,100.0,13.0,120000
1364.0,87.2,21.43,60000
796.0,53.0,18.5,60000
2982.0,168.5,13.0,30000
1198.0,82.0,18.15,15000
1248.0,74.0,22.95,90000
1497.0,118.0,17.0,47000
993.0,60.0,17.3,90000
998.0,67.1,18.9,120600
1599.0,103.2,16.2,100000
1197.0,83.14,20.85,60000
1341.0,83.0,15.3,86000
1197.0,81.86,18.6,5000
1248.0,88.5,28.09,37000
1199.0,84.0,20.3,14000
1248.0,88.76,20.77,70000
,,,120000
1497.0,117.3,17.4,50000
1198.0,86.8,19.4,60000
1197.0,83.14,20.85,50000
1197.0,82.85,18.5,70000
,,,90000
998.0,67.0,20.51,35000
1197.0,81.8,21.21,20000
796.0,47.3,24.7,20000
1197.0,81.8,22.0,7800
1197.0,81.8,20.4,20000
2179.0,147.94,17.6,15000
1197.0,82.85,18.5,31377
1248.0,74.02,28.4,50000
998.0,67.04,20.51,60000
1794.0,138.1,14.53,100000
1198.0,86.8,19.4,60000
1197.0,83.1,21.4,5000
2179.0,147.94,14.1,60000
796.0,46.3,19.7,25000
799.0,53.3,25.17,30000
1198.0,67.0,20.63,80000
1248.0,88.5,24.3,75000
1197.0,81.86,20.14,32000
796.0,47.3,22.74,40000
1197.0,80.0,17.0,93000
1193.0,88.7,17.57,60000
,,,120000
1498.0,97.7,16.95,37000
1497.0,121.36,17.0,15000
1198.0,67.04,19.49,80000
998.0,67.04,20.51,140000
2696.0,162.0,12.83,70000
1493.0,100.0,17.21,120000
1248.0,73.9,21.1,110000
1582.0,126.2,19.67,37000
799.0,53.3,25.17,44000
1248.0,88.76,20.77,80000
2179.0,140.0,15.1,125000
1196.0,73.0,15.37,13500
1086.0,62.1,17.92,75000
1495.0,94.0,13.2,120000
2179.0,140.0,15.1,120000
2494.0,100.57,12.99,70000
1248.0,74.0,23.4,70000
1199.0,88.76,19.0,15000
1197.0,78.9,20.36,53000
1248.0,74.0,23.4,120000
1248.0,88.5,24.52,70000
1341.0,82.9,14.2,120000
1197.0,80.0,18.5,100000
,,,110000
1197.0,83.11,20.4,100000
1405.0,70.0,19.4,162500
1396.0,88.73,22.54,39000
1248.0,74.0,26.8,75000
2179.0,153.86,17.6,50000
1497.0,121.0,17.3,40000
1582.0,126.3,22.32,92500
1248.0,74.0,23.4,158000
1248.0,73.9,19.3,120000
1498.0,98.6,26.0,50000
1248.0,73.9,19.3,110000
1186.0,73.97,25.4,2000
2982.0,171.0,11.5,181000
1047.0,69.0,27.28,70000
1498.0,99.6,17.97,90000
1197.0,81.86,18.6,2000
1197.0,83.14,20.85,20000
2494.0,102.0,12.8,120000
2498.0,105.0,16.55,35000
1248.0,73.9,19.3,193000
1197.0,81.8,20.4,80000
1198.0,67.05,19.02,40000
1396.0,88.73,22.54,70000
2179.0,120.0,12.05,122358
2956.0,69.01,14.07,75000
1047.0,69.0,27.28,120000
1193.0,88.7,17.57,40000
1495.0,94.0,13.2,95200
1198.0,86.8,19.4,33033
1197.0,82.0,18.9,63063
1248.0,88.76,21.02,60000
796.0,46.3,19.7,45000
2179.0,138.1,11.57,80000
2523.0,63.0,13.6,170000
2523.0,63.0,13.6,207890
2143.0,170.0,17.9,7976
796.0,34.2,16.8,35000
1197.0,82.0,18.9,35000
1197.0,82.0,18.9,35000
1197.0,78.9,16.95,50000
1197.0,81.8,20.4,20000
1197.0,78.9,16.95,20000
1197.0,85.8,18.6,50000
1197.0,85.8,18.6,50000
2523.0,62.1,15.96,120000
1591.0,121.3,17.1,70000
1197.0,81.86,17.19,50000
1197.0,81.8,21.01,16500
1197.0,80.0,17.0,70000
796.0,46.3,19.7,99361
1248.0,74.0,26.59,25000
1197.0,85.8,19.1,70000
1120.0,70.0,24.0,80000
,,,70000
1197.0,85.8,19.1,70000
1199.0,79.4,18.6,60000
1199.0,84.0,20.3,10000
